gene,chr,start,stop,lead_or_lag
YEL077C,chrV,264,4097,-
YEL077W-A,chrV,630,1112,+
YEL076C-A,chrV,4185,5114,-
YEL076C,chrV,4464,5114,-
YEL075W-A,chrV,4870,5481,+
YEL075C,chrV,5345,5713,-
YEL074W,chrV,6126,6464,+
YEL073C,chrV,7230,7553,-
YEL072W,chrV,13720,14415,+
YEL071W,chrV,16355,17845,+
YEL070W,chrV,19589,21097,+
YEL069C,chrV,21537,23231,-
YEL068C,chrV,25646,25978,-
YEL067C,chrV,26189,26776,-
YEL066W,chrV,26667,27206,+
YEL065W,chrV,27657,29543,+
YEL064C,chrV,29797,31239,-
YEL063C,chrV,31694,33466,-
YEL062W,chrV,34407,36254,+
YEL061C,chrV,36535,39537,-
YEL060C,chrV,40046,41953,-
YEL059C-A,chrV,42400,42624,-
YEL059W,chrV,42652,42960,+
YEL058W,chrV,43252,44925,+
YEL057C,chrV,45020,45721,-
YEL056W,chrV,47168,48373,+
YEL055C,chrV,48471,51539,-
YEL054C,chrV,52721,53218,-
YEL053W-A,chrV,52908,53255,+
YEL053C,chrV,53901,56102,-
YEL052W,chrV,56571,58100,+
YEL051W,chrV,58378,59148,+
YEL050W-A,chrV,59549,59740,+
YEL050C,chrV,59670,60851,-
YEL049W,chrV,63728,64090,+
YEL048C,chrV,64709,65167,-
YEL047C,chrV,65385,66797,-
YEL046C,chrV,67629,68792,-
YEL045C,chrV,68840,69265,-
YEL044W,chrV,69757,70257,+
YEL043W,chrV,70478,73348,+
YEL042W,chrV,73771,75327,+
YEL041W,chrV,75944,77431,+
YEL040W,chrV,78053,79456,+
YEL039C,chrV,79636,79977,-
YEL038W,chrV,80462,81145,+
YEL037C,chrV,81407,82603,-
YEL036C,chrV,83050,84552,-
YEL035C,chrV,85045,85545,-
YEL034C-A,chrV,85613,86215,-
YEL034W,chrV,85676,86149,+
YEL033W,chrV,86179,86598,+
YEL032W,chrV,86937,89852,+
YEL032C-A,chrV,87040,87201,-
YEL031W,chrV,90258,93905,+
YEL030C-A,chrV,94583,94897,-
YEL030W,chrV,94644,96578,+
YEL029C,chrV,96858,97796,-
YEL028W,chrV,98668,99129,+
YEL027W,chrV,100769,101251,+
YEL026W,chrV,101943,102323,+
YEL025C,chrV,102581,106147,-
YEL024W,chrV,107260,107907,+
YEL023C,chrV,108504,110552,-
YEL022W,chrV,111421,115800,+
YEL021W,chrV,116167,116970,+
YEL020C-B,chrV,117183,117380,-
YEL020W-A,chrV,117211,117474,+
YEL020C,chrV,118617,120299,-
YEL019C,chrV,120498,121301,-
YEL018C-A,chrV,121455,121988,-
YEL018W,chrV,121471,122310,+
YEL017C-A,chrV,122798,122929,-
YEL017W,chrV,123657,124670,+
YEL016C,chrV,124737,126218,-
YEL015W,chrV,126629,128284,+
YEL014C,chrV,128303,128608,-
YEL013W,chrV,128825,130561,+
YEL012W,chrV,131772,132551,+
YEL011W,chrV,133120,135234,+
YEL010W,chrV,136279,136629,+
YEL009C-A,chrV,136371,136778,-
YEL009C,chrV,138918,139763,-
YEL008W,chrV,140512,140892,+
YEL008C-A,chrV,140726,140818,-
YEL007W,chrV,141892,143892,+
YEL006W,chrV,144327,145334,+
YEL005C,chrV,145907,146755,-
YEL004W,chrV,146951,147979,+
YEL003W,chrV,148176,148599,+
YEL002C,chrV,148722,150014,-
YEL001C,chrV,150301,150978,-
YER001W,chrV,153520,155808,+
YER002W,chrV,156803,157498,+
YER003C,chrV,157736,159118,-
YER004W,chrV,159580,160275,+
YER005W,chrV,160550,162442,+
YER006W,chrV,162723,164285,+
YER006C-A,chrV,164344,164661,-
YER007W,chrV,164527,166083,+
YER007C-A,chrV,166237,166885,-
YER008C,chrV,167808,171818,-
YER009W,chrV,172115,172492,+
YER010C,chrV,172634,173338,-
YER011W,chrV,175248,176012,+
YER012W,chrV,177835,178431,+
YER013W,chrV,178841,182278,+
YER014W,chrV,182600,184219,+
YER014C-A,chrV,183731,184700,-
YER015W,chrV,184541,186775,+
YER016W,chrV,188277,189311,+
YER017C,chrV,189503,191788,-
YER018C,chrV,191959,192624,-
YER019W,chrV,192797,194230,+
YER019C-A,chrV,194273,194539,-
YER020W,chrV,195168,196517,+
YER021W,chrV,196948,198519,+
YER022W,chrV,198812,200875,+
YER023W,chrV,201076,201936,+
YER023C-A,chrV,201522,201734,-
YER024W,chrV,202192,204963,+
YER025W,chrV,205251,206834,+
YER026C,chrV,207644,208474,-
YER027C,chrV,208979,210232,-
YER028C,chrV,210692,211876,-
YER029C,chrV,212587,213177,-
YER030W,chrV,213437,213898,+
YER031C,chrV,214076,214747,-
YER032W,chrV,215063,217693,+
YER033C,chrV,218057,221287,-
YER034W,chrV,221846,222403,+
YER035W,chrV,222639,223076,+
YER036C,chrV,223367,225199,-
YER037W,chrV,225889,226854,+
YER038C,chrV,226858,228252,-
YER038W-A,chrV,228451,228831,+
YER039C,chrV,228456,229205,-
YER039C-A,chrV,229263,229481,-
YER040W,chrV,229795,231987,+
YER041W,chrV,232461,234740,+
YER042W,chrV,234937,235491,+
YER043C,chrV,235770,237119,-
YER044C,chrV,237570,238016,-
YER044C-A,chrV,238460,239774,-
YER045C,chrV,240032,241501,-
YER046W,chrV,243180,243611,+
YER046W-A,chrV,243700,244029,+
YER047C,chrV,243810,246503,-
YER048C,chrV,246982,248157,-
YER048W-A,chrV,250718,251002,+
YER049W,chrV,251728,253662,+
YER050C,chrV,253971,254387,-
YER051W,chrV,254656,256134,+
YER052C,chrV,256375,257958,-
YER053C,chrV,258737,259639,-
YER053C-A,chrV,260933,261046,-
YER054C,chrV,262052,263698,-
YER055C,chrV,264892,265785,-
YER056C,chrV,266512,268113,-
YER056C-A,chrV,269423,270185,-
YER057C,chrV,270737,271126,-
YER058W,chrV,271768,272091,+
YER059W,chrV,272624,273886,+
YER060W,chrV,274567,276153,+
YER060W-A,chrV,276572,278164,+
YER061C,chrV,278298,279626,-
YER062C,chrV,279930,280682,-
YER063W,chrV,281710,282366,+
YER064C,chrV,282705,284222,-
YER065C,chrV,285241,286914,-
YER066W,chrV,290242,290799,+
YER066C-A,chrV,291703,292203,-
YER067W,chrV,292066,292551,+
YER067C-A,chrV,292240,292563,-
YER068W,chrV,293050,294813,+
YER068C-A,chrV,295301,295732,-
YER069W,chrV,295410,298001,+
YER070W,chrV,298950,301616,+
YER071C,chrV,301947,302327,-
YER072W,chrV,302806,303195,+
YER073W,chrV,304030,305592,+
YER074W,chrV,306323,307196,+
YER074W-A,chrV,307653,308123,+
YER075C,chrV,308413,311199,-
YER076C,chrV,312590,313498,-
YER076W-A,chrV,313390,313737,+
YER077C,chrV,314534,316600,-
YER078C,chrV,316807,318342,-
YER078W-A,chrV,318646,318810,+
YER079W,chrV,318920,319552,+
YER079C-A,chrV,319902,320240,-
YER080W,chrV,319963,321846,+
YER081W,chrV,322686,324095,+
YER082C,chrV,324272,325936,-
YER083C,chrV,326174,327031,-
YER084W,chrV,327065,327451,+
YER084W-A,chrV,327598,328110,+
YER085C,chrV,327619,328140,-
YER086W,chrV,328477,330207,+
YER087W,chrV,330576,332306,+
YER087C-A,chrV,331817,332368,-
YER087C-B,chrV,332582,332830,-
YER088C,chrV,333176,335188,-
YER088C-A,chrV,335696,336019,-
YER088W-B,chrV,335927,336073,+
YER089C,chrV,335946,337340,-
YER090W,chrV,337949,339472,+
YER090C-A,chrV,338322,338411,-
YER091C,chrV,339864,342167,-
YER091C-A,chrV,342390,342611,-
YER092W,chrV,342855,343232,+
YER093C,chrV,343320,347612,-
YER093C-A,chrV,347912,348400,-
YER094C,chrV,348729,349346,-
YER095W,chrV,349980,351182,+
YER096W,chrV,351698,353236,+
YER097W,chrV,355140,355469,+
YER098W,chrV,355466,357730,+
YER099C,chrV,358105,359061,-
YER100W,chrV,359562,360314,+
YER101C,chrV,360502,361794,-
YER102W,chrV,362733,363702,+
YER103W,chrV,364589,366517,+
YER104W,chrV,366802,367428,+
YER105C,chrV,367838,372013,-
YER106W,chrV,372326,373234,+
YER107C,chrV,373448,374545,-
YER107W-A,chrV,374394,374714,+
YER109C,chrV,375215,377614,-
YER110C,chrV,378762,382103,-
YER111C,chrV,382595,385876,-
YER112W,chrV,387232,387795,+
YER113C,chrV,387932,390052,-
YER114C,chrV,390590,393712,-
YER115C,chrV,394292,394867,-
YER116C,chrV,395348,396172,-
YER117W,chrV,396769,397653,+
YER118C,chrV,397952,399055,-
YER119C,chrV,399496,400842,-
YER119C-A,chrV,400867,401238,-
YER120W,chrV,401135,401869,+
YER121W,chrV,402375,402719,+
YER122C,chrV,402871,404352,-
YER123W,chrV,404813,406387,+
YER124C,chrV,407342,409063,-
YER125W,chrV,410189,412618,+
YER126C,chrV,413394,414179,-
YER127W,chrV,414481,415554,+
YER128W,chrV,415859,416470,+
YER129W,chrV,417281,420709,+
YER130C,chrV,421115,422446,-
YER131W,chrV,423591,424311,+
YER132C,chrV,425188,430449,-
YER133W,chrV,432495,433958,+
YER133W-A,chrV,437191,437532,+
YER134C,chrV,437267,437803,-
YER135C,chrV,437952,438344,-
YER136W,chrV,439616,440971,+
YER137C,chrV,441373,441819,-
YER137W-A,chrV,441575,441880,+
YER138W-A,chrV,449474,449578,+
YER139C,chrV,450563,451243,-
YER140W,chrV,451565,453235,+
YER141W,chrV,453459,454919,+
YER142C,chrV,455146,456036,-
YER143W,chrV,456319,457605,+
YER144C,chrV,457806,460223,-
YER145C,chrV,460526,461740,-
YER145C-A,chrV,462386,462823,-
YER146W,chrV,462585,462866,+
YER147C,chrV,462968,464842,-
YER147C-A,chrV,465203,465613,-
YER148W,chrV,465303,466025,+
YER148W-A,chrV,466185,466763,+
YER149C,chrV,466208,467470,-
YER150W,chrV,468370,468816,+
YER151C,chrV,469686,472424,-
YER152C,chrV,472657,473988,-
YER152W-A,chrV,473485,474051,+
YER153C,chrV,474041,474805,-
YER154W,chrV,475020,476228,+
YER155C,chrV,476345,482848,-
YER156C,chrV,483325,484341,-
YER157W,chrV,484788,487193,+
YER158C,chrV,488857,490578,-
YER158W-A,chrV,491487,491702,+
YER159C,chrV,491530,491958,-
YER161C,chrV,499347,500348,-
YER162C,chrV,500630,502894,-
YER163C,chrV,503084,503782,-
YER164W,chrV,505392,509798,+
YER165W,chrV,510373,512106,+
YER165C-A,chrV,512627,512983,-
YER166W,chrV,512744,517459,+
YER167W,chrV,518216,520771,+
YER168C,chrV,521029,522669,-
YER169W,chrV,523369,525759,+
YER170W,chrV,525974,526651,+
YER171W,chrV,527082,529418,+
YER172C,chrV,529530,536021,-
YER172C-A,chrV,536275,536655,-
YER173W,chrV,536300,538279,+
YER174C,chrV,538434,539168,-
YER175C,chrV,539464,540363,-
YER175W-A,chrV,540650,540814,+
YER176W,chrV,541690,545055,+
YER177W,chrV,545611,546414,+
YER178W,chrV,546817,548079,+
YER179W,chrV,548421,549517,+
YER180C,chrV,549724,550527,-
YER180C-A,chrV,550865,551122,-
YER181C,chrV,551473,551796,-
YER182W,chrV,552525,553259,+
YER183C,chrV,553334,553969,-
YER184C,chrV,556296,558680,-
YER185W,chrV,559454,560365,+
YER186C,chrV,561705,562625,-
YER187W,chrV,566230,566655,+
YER188W,chrV,568040,568759,+
YER188C-A,chrV,569608,569907,-
YER189W,chrV,571155,571523,+
YER190W,chrV,571480,576525,+
YER190C-A,chrV,574804,575379,-
YER190C-B,chrV,575680,576162,-
YFL068W,chrVI,53,535,+
YFL067W,chrVI,836,1363,+
YFL066C,chrVI,1437,2615,-
YFL065C,chrVI,3030,3338,-
YFL064C,chrVI,3322,3846,-
YFL063W,chrVI,5066,5521,+
YFL062W,chrVI,6426,7565,+
YFL061W,chrVI,9545,10222,+
YFL060C,chrVI,10301,10969,-
YFL059W,chrVI,11363,12259,+
YFL058W,chrVI,12929,13951,+
YFL057C,chrVI,14305,14763,-
YFL056C,chrVI,14793,15431,-
YFL055W,chrVI,17004,18680,+
YFL054C,chrVI,20847,22787,-
YFL053W,chrVI,23423,25198,+
YFL052W,chrVI,28232,29629,+
YFL051C,chrVI,30058,30540,-
YFL050C,chrVI,33272,35848,-
YFL049W,chrVI,36803,38674,+
YFL048C,chrVI,38843,40180,-
YFL047W,chrVI,40421,42565,+
YFL046W,chrVI,42815,43438,+
YFL045C,chrVI,43628,44392,-
YFL044C,chrVI,44655,45560,-
YFL042C,chrVI,45720,47744,-
YFL041W-A,chrVI,48734,48925,+
YFL041W,chrVI,49139,51007,+
YFL040W,chrVI,51350,52972,+
YFL039C,chrVI,53260,54696,-
YFL038C,chrVI,55366,55986,-
YFL037W,chrVI,56336,57709,+
YFL036W,chrVI,58782,62837,+
YFL034C-B,chrVI,63016,63993,-
YFL034C-A,chrVI,64243,64932,-
YFL034W,chrVI,65477,68698,+
YFL033C,chrVI,69115,74427,-
YFL032W,chrVI,74872,75192,+
YFL031W,chrVI,75179,76147,+
YFL031C-A,chrVI,76014,76115,-
YFL030W,chrVI,76831,77988,+
YFL029C,chrVI,78055,79161,-
YFL028C,chrVI,79344,80213,-
YFL027C,chrVI,80419,81912,-
YFL026W,chrVI,82580,83875,+
YFL025C,chrVI,84145,87234,-
YFL024C,chrVI,87847,90345,-
YFL023W,chrVI,90986,93376,+
YFL022C,chrVI,93499,95010,-
YFL021C-A,chrVI,95761,96615,-
YFL021W,chrVI,95966,97498,+
YFL020C,chrVI,99231,99599,-
YFL019C,chrVI,100252,100605,-
YFL018C,chrVI,101628,103127,-
YFL017W-A,chrVI,103699,103932,+
YFL017C,chrVI,103983,104462,-
YFL016C,chrVI,104701,106236,-
YFL015W-A,chrVI,106415,106732,+
YFL015C,chrVI,106469,106963,-
YFL014W,chrVI,107256,107585,+
YFL013W-A,chrVI,107799,108602,+
YFL013C,chrVI,107852,109930,-
YFL012W-A,chrVI,109810,110184,+
YFL012W,chrVI,110647,111093,+
YFL011W,chrVI,112345,113985,+
YFL010W-A,chrVI,114990,115274,+
YFL010C,chrVI,115108,115743,-
YFL009W,chrVI,116145,118484,+
YFL008W,chrVI,119429,123106,+
YFL007W,chrVI,123479,129910,+
YFL005W,chrVI,130334,130981,+
YFL004W,chrVI,131810,134296,+
YFL003C,chrVI,134521,137157,-
YFL002C,chrVI,145114,146934,-
YFL001W,chrVI,147131,148459,+
YFR001W,chrVI,149110,149724,+
YFR002W,chrVI,150016,152535,+
YFR003C,chrVI,152657,153124,-
YFR004W,chrVI,153393,154313,+
YFR005C,chrVI,154527,155873,-
YFR006W,chrVI,156145,157752,+
YFR007W,chrVI,159299,160360,+
YFR008W,chrVI,160535,161200,+
YFR009W,chrVI,162488,164746,+
YFR009W-A,chrVI,163875,164132,+
YFR010W,chrVI,165067,166566,+
YFR010W-A,chrVI,166728,166916,+
YFR011C,chrVI,166746,167258,-
YFR012W,chrVI,167888,168496,+
YFR012W-A,chrVI,169224,169310,+
YFR013W,chrVI,169922,172285,+
YFR014C,chrVI,172537,173877,-
YFR015C,chrVI,174265,176391,-
YFR016C,chrVI,177042,180743,-
YFR017C,chrVI,182274,182861,-
YFR018C,chrVI,183131,184222,-
YFR019W,chrVI,184502,191338,+
YFR020W,chrVI,192737,193435,+
YFR021W,chrVI,194812,196314,+
YFR022W,chrVI,196833,199034,+
YFR023W,chrVI,199874,201709,+
YFR024C-A,chrVI,201960,203433,-
YFR025C,chrVI,203743,204750,-
YFR026C,chrVI,205748,206257,-
YFR027W,chrVI,207452,208297,+
YFR028C,chrVI,208413,210068,-
YFR029W,chrVI,210937,212973,+
YFR030W,chrVI,213312,216419,+
YFR031C,chrVI,216594,220106,-
YFR031C-A,chrVI,220507,221418,-
YFR032C,chrVI,222090,222959,-
YFR032C-A,chrVI,223258,223771,-
YFR032C-B,chrVI,223710,223973,-
YFR033C,chrVI,224326,224769,-
YFR034C,chrVI,225020,225958,-
YFR034W-A,chrVI,226022,226309,+
YFR035C,chrVI,226121,226465,-
YFR036W,chrVI,226963,227337,+
YFR036W-A,chrVI,227451,228101,+
YFR037C,chrVI,227513,229186,-
YFR038W,chrVI,229380,231941,+
YFR039C,chrVI,232012,233544,-
YFR040W,chrVI,234242,237250,+
YFR041C,chrVI,237368,238255,-
YFR042W,chrVI,238458,239060,+
YFR043C,chrVI,239114,239827,-
YFR044C,chrVI,239992,241437,-
YFR045W,chrVI,241998,242999,+
YFR046C,chrVI,243074,244159,-
YFR047C,chrVI,244279,245166,-
YFR048W,chrVI,246146,248134,+
YFR049W,chrVI,248523,248894,+
YFR050C,chrVI,249066,249866,-
YFR051C,chrVI,250163,251803,-
YFR052W,chrVI,252505,253329,+
YFR052C-A,chrVI,253429,253734,-
YFR053C,chrVI,253592,255049,-
YFR054C,chrVI,258855,259433,-
YFR056C,chrVI,263957,264325,-
YFR055W,chrVI,264204,265226,+
YFR057W,chrVI,269061,269516,+
YGL263W,chrVII,2790,3932,+
YGL262W,chrVII,5312,5839,+
YGL261C,chrVII,6290,6652,-
YGL260W,chrVII,6860,7090,+
YGL259W,chrVII,8470,8967,+
YGL258W-A,chrVII,9162,9395,+
YGL258W,chrVII,11110,11730,+
YGL257C,chrVII,12481,14157,-
YGL256W,chrVII,15159,16307,+
YGL255W,chrVII,20978,22108,+
YGL254W,chrVII,22304,23203,+
YGL253W,chrVII,23935,25395,+
YGL252C,chrVII,25718,27484,-
YGL251C,chrVII,27921,31636,-
YGL250W,chrVII,31910,32635,+
YGL249W,chrVII,33098,35212,+
YGL248W,chrVII,35653,36762,+
YGL247W,chrVII,36933,37526,+
YGL246C,chrVII,37617,38780,-
YGL245W,chrVII,39023,41149,+
YGL244W,chrVII,41498,43174,+
YGL243W,chrVII,43307,44509,+
YGL242C,chrVII,44652,45197,-
YGL241W,chrVII,45445,48459,+
YGL240W,chrVII,48613,49365,+
YGL239C,chrVII,49431,49745,-
YGL238W,chrVII,49552,52434,+
YGL237C,chrVII,52731,53528,-
YGL236C,chrVII,53787,55796,-
YGL235W,chrVII,55279,55815,+
YGL234W,chrVII,56482,58890,+
YGL233W,chrVII,59122,61854,+
YGL232W,chrVII,62075,63002,+
YGL231C,chrVII,63048,63620,-
YGL230C,chrVII,63772,64215,-
YGL229C,chrVII,64503,66959,-
YGL228W,chrVII,67598,69331,+
YGL227W,chrVII,69671,72547,+
YGL226C-A,chrVII,72749,73158,-
YGL226W,chrVII,73340,73711,+
YGL225W,chrVII,76894,77907,+
YGL224C,chrVII,78015,78857,-
YGL223C,chrVII,79112,80365,-
YGL222C,chrVII,80659,81186,-
YGL221C,chrVII,81426,82292,-
YGL220W,chrVII,82374,82736,+
YGL219C,chrVII,82878,84257,-
YGL218W,chrVII,83650,84300,+
YGL217C,chrVII,84839,85180,-
YGL216W,chrVII,84885,87302,+
YGL215W,chrVII,87981,89339,+
YGL214W,chrVII,90010,90495,+
YGL213C,chrVII,90054,91247,-
YGL212W,chrVII,91432,92382,+
YGL211W,chrVII,92512,93591,+
YGL210W,chrVII,93792,94460,+
YGL209W,chrVII,95858,97006,+
YGL208W,chrVII,97338,98585,+
YGL207W,chrVII,98969,102076,+
YGL206C,chrVII,102543,107504,-
YGL205W,chrVII,108158,110404,+
YGL204C,chrVII,111700,112005,-
YGL203C,chrVII,112475,114664,-
YGL202W,chrVII,116059,117561,+
YGL201C,chrVII,117854,120907,-
YGL200C,chrVII,122694,123305,-
YGL199C,chrVII,123572,124042,-
YGL198W,chrVII,123591,124298,+
YGL197W,chrVII,124698,129161,+
YGL196W,chrVII,129883,131169,+
YGL195W,chrVII,131525,139543,+
YGL194C-A,chrVII,139719,139961,-
YGL194C,chrVII,140368,141726,-
YGL193C,chrVII,141916,142227,-
YGL192W,chrVII,142246,144048,+
YGL191W,chrVII,144808,145197,+
YGL190C,chrVII,145809,147389,-
YGL189C,chrVII,148229,148966,-
YGL188C-A,chrVII,148824,148964,-
YGL188C,chrVII,149343,149516,-
YGL187C,chrVII,149704,150525,-
YGL186C,chrVII,151037,152776,-
YGL185C,chrVII,153167,154306,-
YGL184C,chrVII,154615,156012,-
YGL183C,chrVII,156543,157285,-
YGL182C,chrVII,157273,157596,-
YGL181W,chrVII,157906,159096,+
YGL180W,chrVII,160065,162758,+
YGL179C,chrVII,163409,165091,-
YGL178W,chrVII,167352,170571,+
YGL177W,chrVII,167559,167906,+
YGL176C,chrVII,171415,173079,-
YGL175C,chrVII,173285,174322,-
YGL174W,chrVII,174545,175345,+
YGL173C,chrVII,175527,180113,-
YGL172W,chrVII,180700,182118,+
YGL171W,chrVII,182390,184084,+
YGL170C,chrVII,184153,185394,-
YGL169W,chrVII,186059,187339,+
YGL168W,chrVII,187464,187796,+
YGL167C,chrVII,187616,190468,-
YGL166W,chrVII,191129,191806,+
YGL165C,chrVII,191398,191976,-
YGL164C,chrVII,191978,193300,-
YGL163C,chrVII,193707,196403,-
YGL162W,chrVII,198138,199037,+
YGL161C,chrVII,199210,200142,-
YGL160W,chrVII,200561,202273,+
YGL159W,chrVII,202721,203833,+
YGL158W,chrVII,207033,208571,+
YGL157W,chrVII,209006,210049,+
YGL156W,chrVII,210416,213667,+
YGL155W,chrVII,214081,215211,+
YGL154C,chrVII,215278,216096,-
YGL153W,chrVII,216273,217298,+
YGL152C,chrVII,216692,217369,-
YGL151W,chrVII,217524,220922,+
YGL150C,chrVII,221104,225573,-
YGL149W,chrVII,225572,225877,+
YGL148W,chrVII,226399,227529,+
YGL147C,chrVII,227754,228329,-
YGL146C,chrVII,228751,229686,-
YGL145W,chrVII,230243,232348,+
YGL144C,chrVII,232450,234507,-
YGL143C,chrVII,234717,235958,-
YGL142C,chrVII,236269,238119,-
YGL141W,chrVII,238353,241085,+
YGL140C,chrVII,241353,245012,-
YGL139W,chrVII,245716,248124,+
YGL138C,chrVII,248494,249531,-
YGL137W,chrVII,249869,252738,+
YGL136C,chrVII,252897,253859,-
YGL135W,chrVII,254641,255294,+
YGL134W,chrVII,255663,256964,+
YGL133W,chrVII,257707,261501,+
YGL132W,chrVII,261580,261915,+
YGL131C,chrVII,261648,265859,-
YGL130W,chrVII,266145,267524,+
YGL129C,chrVII,267723,269075,-
YGL128C,chrVII,269293,270144,-
YGL127C,chrVII,270392,270775,-
YGL126W,chrVII,270997,272139,+
YGL125W,chrVII,272520,274322,+
YGL124C,chrVII,274780,276714,-
YGL123W,chrVII,277617,278381,+
YGL123C-A,chrVII,277634,277864,-
YGL122C,chrVII,278946,280523,-
YGL121C,chrVII,280777,281157,-
YGL120C,chrVII,281634,283937,-
YGL119W,chrVII,284442,285947,+
YGL118C,chrVII,288014,288451,-
YGL117W,chrVII,288512,289309,+
YGL116W,chrVII,289809,291641,+
YGL115W,chrVII,292033,293001,+
YGL114W,chrVII,293460,295637,+
YGL113W,chrVII,295932,297938,+
YGL112C,chrVII,298178,299728,-
YGL111W,chrVII,299978,301369,+
YGL110C,chrVII,301537,303411,-
YGL109W,chrVII,303513,303836,+
YGL108C,chrVII,303649,304071,-
YGL107C,chrVII,304333,306273,-
YGL106W,chrVII,306560,307009,+
YGL105W,chrVII,307437,308567,+
YGL104C,chrVII,308713,310173,-
YGL103W,chrVII,310967,311927,+
YGL102C,chrVII,311505,311933,-
YGL101W,chrVII,312193,312840,+
YGL100W,chrVII,313234,314283,+
YGL099W,chrVII,314631,316553,+
YGL098W,chrVII,317342,318079,+
YGL097W,chrVII,321782,323230,+
YGL096W,chrVII,325331,326161,+
YGL095C,chrVII,328874,330607,-
YGL094C,chrVII,331118,334465,-
YGL093W,chrVII,334886,337639,+
YGL092W,chrVII,337906,341859,+
YGL091C,chrVII,342056,343042,-
YGL090W,chrVII,343319,344584,+
YGL089C,chrVII,344791,345153,-
YGL088W,chrVII,345836,346201,+
YGL087C,chrVII,346406,346904,-
YGL086W,chrVII,347119,349368,+
YGL085W,chrVII,349616,350440,+
YGL084C,chrVII,350616,352298,-
YGL083W,chrVII,353058,355472,+
YGL082W,chrVII,355827,356972,+
YGL081W,chrVII,357377,358339,+
YGL080W,chrVII,358636,359028,+
YGL079W,chrVII,359444,360100,+
YGL078C,chrVII,360288,361859,-
YGL077C,chrVII,362225,363916,-
YGL076C,chrVII,364335,365996,-
YGL075C,chrVII,366925,368088,-
YGL074C,chrVII,368596,368922,-
YGL073W,chrVII,368753,371254,+
YGL072C,chrVII,371003,371362,-
YGL071W,chrVII,372012,374084,+
YGL070C,chrVII,374459,374827,-
YGL069C,chrVII,375050,375514,-
YGL068W,chrVII,375087,375671,+
YGL067W,chrVII,376101,377255,+
YGL066W,chrVII,377609,379582,+
YGL065C,chrVII,379760,381271,-
YGL064C,chrVII,381523,383208,-
YGL063W,chrVII,383654,384766,+
YGL063C-A,chrVII,384502,384651,-
YGL062W,chrVII,385196,388732,+
YGL061C,chrVII,388968,389711,-
YGL060W,chrVII,390065,391990,+
YGL059W,chrVII,392223,393698,+
YGL058W,chrVII,393986,394504,+
YGL057C,chrVII,394966,395829,-
YGL056C,chrVII,396035,397618,-
YGL055W,chrVII,398628,400160,+
YGL054C,chrVII,400871,401287,-
YGL053W,chrVII,402589,403302,+
YGL052W,chrVII,403437,403742,+
YGL051W,chrVII,403687,404391,+
YGL050W,chrVII,405776,406597,+
YGL049C,chrVII,406860,409604,-
YGL048C,chrVII,410069,411286,-
YGL047W,chrVII,411552,412160,+
YGL045W,chrVII,414102,415730,+
YGL044C,chrVII,416146,417036,-
YGL043W,chrVII,417483,418412,+
YGL042C,chrVII,418288,418593,-
YGL041C-B,chrVII,418704,418886,-
YGL041W-A,chrVII,418825,419289,+
YGL041C,chrVII,419022,419225,-
YGL040C,chrVII,419527,420555,-
YGL039W,chrVII,423961,425007,+
YGL038C,chrVII,425362,426804,-
YGL037C,chrVII,427297,427947,-
YGL036W,chrVII,428601,431330,+
YGL035C,chrVII,431548,433062,-
YGL034C,chrVII,433214,433579,-
YGL033W,chrVII,435625,436351,+
YGL032C,chrVII,436570,436833,-
YGL031C,chrVII,437467,438397,-
YGL030W,chrVII,439091,439638,+
YGL029W,chrVII,440063,440425,+
YGL028C,chrVII,441281,442909,-
YGL027C,chrVII,443642,446143,-
YGL026C,chrVII,446412,448535,-
YGL025C,chrVII,448764,449957,-
YGL024W,chrVII,449788,450123,+
YGL023C,chrVII,450197,452104,-
YGL022W,chrVII,452404,454560,+
YGL021W,chrVII,454785,457067,+
YGL020C,chrVII,457163,457870,-
YGL019W,chrVII,458156,458992,+
YGL018C,chrVII,459110,459664,-
YGL017W,chrVII,459854,461365,+
YGL016W,chrVII,461666,464911,+
YGL015C,chrVII,465043,465435,-
YGL014W,chrVII,466141,468807,+
YGL014C-A,chrVII,466237,466398,-
YGL013C,chrVII,469092,472298,-
YGL012W,chrVII,472855,474276,+
YGL011C,chrVII,474489,475247,-
YGL010W,chrVII,475545,476069,+
YGL009C,chrVII,476313,478652,-
YGL008C,chrVII,479910,482666,-
YGL007C-A,chrVII,482941,483027,-
YGL007W,chrVII,483260,483637,+
YGL006W-A,chrVII,485423,485533,+
YGL006W,chrVII,485921,489442,+
YGL005C,chrVII,489708,490547,-
YGL004C,chrVII,490703,491956,-
YGL003C,chrVII,492474,494174,-
YGL002W,chrVII,494517,495167,+
YGL001C,chrVII,495453,496502,-
YGR001C,chrVII,497133,498034,-
YGR002C,chrVII,498476,499906,-
YGR003W,chrVII,500132,502366,+
YGR004W,chrVII,502938,504326,+
YGR005C,chrVII,504657,505859,-
YGR006W,chrVII,506070,506825,+
YGR007W,chrVII,506969,507940,+
YGR008C,chrVII,508110,508364,-
YGR009C,chrVII,509047,511002,-
YGR010W,chrVII,511545,512732,+
YGR011W,chrVII,512497,512823,+
YGR012W,chrVII,513159,514340,+
YGR013W,chrVII,514554,516416,+
YGR014W,chrVII,516943,520863,+
YGR015C,chrVII,521090,522076,-
YGR016W,chrVII,522261,522833,+
YGR017W,chrVII,523787,524680,+
